"Messzeit","Produktion (Wh)","Zur Batterie (Wh)","Ins Netz (Wh)","Ins Haus (Wh)","Verbrauch (Wh)","Von der Batterie (Wh)","Vom Netz (Wh)","Aus Solarenergie (Wh)"
"Jan_2021","95429.78","17120.97","808.1699","77500.64","920100.7","20408.164","822191.9","77500.64"
"Feb_2021","276867","92551.84","58845.824","125469.32","879248.94","91255.88","662523.75","125469.32"
"Mrz_2021","674170.4","222453.73","171904.58","279812.06","808131.3","221217.7","307101.56","279812.06"
"Apr_2021","900818.4","243319.06","340766.75","316732.56","707509.9","251741.55","139035.75","316732.56"
"Mai_2021","1165926.5","235064.89","567370.6","363491.03","657955.6","234872.7","59591.887","363491.03"
"Jun_2021","1280774.9","257634.98","561977.7","461162.22","784379.2","257021.34","66195.625","461162.22"
"Jul_2021","1178798.9","251687.66","420617.2","506494.12","887249.4","256452.44","124302.82","506494.12"
"Aug_2021","936012.2","228668.9","316566.7","390776.6","767393.6","237287.48","139329.58","390776.6"
"Sep_2021","736438.2","238218","188202.77","310017.44","757250.9","238539.81","208693.62","310017.44"
"Okt_2021","544013.75","215709.55","92711.76","235592.44","777608.6","221034.72","320981.44","235592.44"
"Nov_2021","178451.55","69474.48","3200.1392","105776.93","960715","73666.1","781271.94","105776.93"
"Dez_2021","97719.23","19384.293","772.01996","77562.914","1018660.25","23557.86","917539.44","77562.914"
